id,label,adresse,city,dep,cp,type,x,y,localisation,appariement,score
0010086N,Collège privé Saint Charles,79 rue DE L'EGLISE,Feillens,1,1570,secondaire,46.33555429911112,4.888260468045971,Numéro de rue,need_update,
0010172G,Ecole primaire,180 rue de l'Oignin,Izernore,1,1580,primaire,46.21882890420945,5.551739527732223,Numéro de rue,need_update,
0010165Z,Ecole élémentaire,Rue des Ecoles,Dortan,1,1590,primaire,46.31969961031714,5.658220426818085,Numéro de rue,need_update,
0010097A,Collège privé de la Sidoine,308 avenue du 1er RFM,Trévoux,1,1600,secondaire,45.93760515615645,4.783610025128626,Numéro de rue,need_update,
3072,CRECHE COLLECTIVE LE TOURNESOL,178 Chemin d'Arras 1600 TREVOUX,Trévoux,1,1600,crèche,45.9456964954172,4.76249292000256,,need_update,
0010241G,Ecole maternelle Poyat,20 boulevard Poyat,Trévoux,1,1600,primaire,45.940274426796975,4.784039876361977,Numéro de rue,need_update,
0010240F,Ecole primaire,19 boulevard Poyat,Trévoux,1,1600,primaire,45.93904930063335,4.7830203215282525,Numéro de rue,need_update,
0010250S,Ecole primaire,9 chemin du Petit Bois,Massieux,1,1600,primaire,45.907822600557196,4.817340572035558,Numéro de rue,need_update,
0010255X,Ecole primaire,Allée des Marronniers,Parcieux,1,1600,primaire,45.91650299739594,4.824219981167786,Numéro de rue,need_update,
0010059J,"Lycée d'enseignement général, technologique et professionnel agricole de Cibeins-Miserieux",DOMAINE DE CIBEINS,Misérieux,1,1600,secondaire,45.98452225628568,4.8028203380392736,Numéro de rue,need_update,
3017,MICRO CRECHE PARCIEUX,21 Route DES MARRONNIERS 1600 PARCIEUX,Parcieux,1,1600,crèche,45.9164741776287,4.82366484000259,,need_update,
3071,MULTI ACCUEIL LE CLOS TREVOUX,178 Chemin d'Arras 1600 TREVOUX,Trévoux,1,1600,crèche,45.9456964954172,4.76249292000256,,need_update,
3056,MULTI ACCUEIL ST DIDIER DE FOR,55 Route DE TREVOUX 1600 SAINT-DIDIER-DE-FORMANS,Saint-Didier-de-Formans,1,1600,crèche,45.9551855281755,4.78058364000257,,need_update,
0010066S,Collège Jean Moulin,749 chemin DES CORBETTES,Trévoux,1,1606,secondaire,45.943486742885554,4.768870113705693,Numéro de rue,need_update,
0010118Y,Ecole primaire,316 route de Thoiry,Sergy,1,1630,primaire,46.251125927055796,5.996330211442412,Numéro de rue,need_update,
